Gene_id	UniProt_AC	UniProt_ID	EntrezGene	symbol
Solyc00g015770.1				
Solyc00g016470.1				
Solyc00g016480.1				
Solyc00g016490.1				
Solyc00g016590.1				
Solyc00g016790.1				
Solyc00g016890.1				
Solyc00g016900.1				
Solyc00g016910.1				
Solyc00g017210.1				
Solyc00g017220.1				
Solyc00g017230.1				
Solyc00g017530.1				
Solyc00g017540.1				
Solyc00g017550.1				
Solyc00g017750.1				
Solyc00g017760.1				
Solyc00g017860.1				
Solyc00g017870.1				
Solyc00g017880.1				
Solyc00g017890.1				
Solyc00g017900.1				
Solyc00g017910.1				
Solyc00g017920.1				
Solyc00g017930.1				
Solyc00g018760.1				
Solyc00g018770.1				
Solyc00g018970.1				
Solyc00g019610.1				
Solyc00g019620.1				
Solyc00g019630.1				
Solyc00g019730.1				
Solyc00g019740.1				
Solyc00g019750.1				
Solyc00g019950.1				
Solyc00g019960.1				
Solyc00g019970.2				
Solyc00g019980.2				
Solyc00g019990.1				
Solyc00g020000.1				
Solyc00g020010.1				
Solyc00g020020.2				
Solyc00g020030.1				
Solyc00g020040.1	Q35872	Q35872_SOLLC	101259037	LOC101259037, orf206
Solyc00g020440.1				
Solyc00g020540.1				
Solyc00g020840.2				
Solyc00g020940.1				
Solyc00g020950.1				
Solyc00g020960.1				
Solyc00g020970.1				
Solyc00g020980.1				
Solyc00g020990.1				
Solyc00g021490.1				
Solyc00g021500.1				
Solyc00g021510.1				
Solyc00g021520.1				
Solyc00g021530.1				
Solyc00g021630.1				
Solyc00g021640.2				
Solyc00g021650.1				
Solyc00g021660.1				
Solyc00g022070.1				
Solyc00g022080.1				
Solyc00g022090.1				
Solyc00g022100.1	E0D3E6	E0D3E6_SOLLC	101261602	LOC101261602, rpl10
Solyc00g022110.2				
Solyc00g022920.1				
Solyc00g023020.1				
Solyc00g023030.1				
Solyc00g023040.1				
Solyc00g023050.1				
Solyc00g023250.1				
Solyc00g023260.1				
Solyc00g023270.1				
Solyc00g023470.1				
Solyc00g023570.1				
Solyc00g023580.1				
Solyc00g023590.2				
Solyc00g023600.1				
Solyc00g023700.2				
Solyc00g023710.1				
Solyc00g024010.1				
Solyc00g024020.1				
Solyc00g024030.1				
Solyc00g024040.1				
Solyc00g024050.1				
Solyc00g024150.2				
Solyc00g024160.1				
Solyc00g024170.1				
Solyc00g024370.1				
Solyc00g024570.1				
Solyc00g024670.1				
Solyc00g024680.1				
Solyc00g024690.1				
Solyc00g025290.1				
Solyc00g025300.1				
Solyc00g025400.2				
Solyc00g025500.1				
Solyc00g025510.1				
Solyc00g025520.1				
Solyc00g025530.1				
Solyc00g025540.1				
Solyc00g025650.1				
Solyc00g025660.1				
Solyc00g026160.2				
Solyc00g026860.1				
Solyc00g026870.1				
Solyc00g026880.1				
Solyc00g026890.1				
Solyc00g026900.1				
Solyc00g027120.1				
Solyc00g027130.1				
Solyc00g027140.1				
Solyc00g027640.1				
Solyc00g027650.1				
Solyc00g027660.1				
Solyc00g027670.1				
Solyc00g027770.2				
Solyc00g027870.1				
Solyc00g027970.1				
Solyc00g027980.1				
Solyc00g027990.1				
Solyc00g028090.1				
Solyc00g028100.1				
Solyc00g028110.1				
Solyc00g028120.1				
Solyc00g028420.1				
Solyc00g028520.1				
Solyc00g028530.1				
Solyc00g028540.1				
Solyc00g028550.1				
Solyc00g028560.1				
Solyc00g028760.1				
Solyc00g028960.1				
Solyc00g029060.1				
Solyc00g029070.1				
Solyc00g029080.1				
Solyc00g029090.1				
Solyc00g029190.2				
Solyc00g029290.1				
Solyc00g029300.1				
Solyc00g029500.1				
Solyc00g029800.1				
Solyc00g030000.1				
Solyc00g030100.1				
Solyc00g030110.1				
Solyc00g030210.1				
Solyc00g030510.2				
Solyc00g030520.2				
Solyc00g030820.1				
Solyc00g031020.1				
Solyc00g031030.1				
Solyc00g031040.1				
Solyc00g031050.1				
Solyc00g031060.1				
Solyc00g031360.1				
Solyc00g031370.1				
Solyc00g031380.1				
Solyc00g031390.1				
Solyc00g031490.1				
Solyc00g031500.1				
Solyc00g031700.1				
Solyc00g031710.1				
Solyc00g031720.1				
Solyc00g031730.1				
Solyc00g032030.1				
Solyc00g032230.1				
Solyc00g032940.1				
Solyc00g033460.2				
Solyc00g033860.1				
Solyc00g033870.1				
Solyc00g033880.1				
Solyc00g033890.1				
Solyc00g033990.1				
Solyc00g034000.1				
Solyc00g034010.1				
Solyc00g034810.1				
Solyc00g035010.1				
Solyc00g035020.1				
Solyc00g036320.1				
Solyc00g036520.1				
Solyc00g036530.1				
Solyc00g036540.1	A0A0C5CUU5	A0A0C5CUU5_SOLLC		rpl2
Solyc00g036740.1				
Solyc00g036750.1				
Solyc00g036760.1				
Solyc00g036960.1				
Solyc00g038390.1				
Solyc00g039290.1				
Solyc00g039990.2				
Solyc00g040290.1				
Solyc00g040390.1				
Solyc00g040490.1				
Solyc00g041090.1				
Solyc00g041190.1				
Solyc00g041200.1				
Solyc00g041210.1				
Solyc00g041220.1				
Solyc00g042120.1				
Solyc00g042130.1				
Solyc00g042140.1				
Solyc00g042640.1				
Solyc00g042840.1				
Solyc00g042850.1				
Solyc00g044350.2				
Solyc00g044550.1				
Solyc00g044750.1				
Solyc00g045570.1				
Solyc00g046570.1				
Solyc00g046580.1				
Solyc00g046980.1				
Solyc00g047180.1				
Solyc00g047190.1				
Solyc00g047200.1	K4AR02	K4AR02_SOLLC		
Solyc00g047700.2				
Solyc00g047810.1				
Solyc00g048410.1				
Solyc00g048510.2				
Solyc00g049210.1				
Solyc00g049220.1				
Solyc00g049520.2				
Solyc00g049620.1				
Solyc00g049920.1				
Solyc00g050020.1				
Solyc00g050030.1				
Solyc00g050130.1				
Solyc00g050430.2				
Solyc00g052430.2				
Solyc00g052530.2				
Solyc00g052540.1				
Solyc00g052940.2				
Solyc00g053440.2				
Solyc00g053740.1				
Solyc00g055940.1				
Solyc00g055950.1				
Solyc00g055960.1				
Solyc00g055970.1				
Solyc00g055980.1				
Solyc00g056180.1				
Solyc00g056680.1				
Solyc00g057280.1				
Solyc00g057880.2				
Solyc00g058280.1				
Solyc00g058480.1				
Solyc00g058490.1				
