Solyc01g091660.3.1;	101259369;
Solyc01g010240.3.1;	
Solyc09g074560.3.1;	101258781;
Solyc01g091585.1.1;	
Solyc11g032230.2.1;	
Solyc00g028530.2.1;	
Solyc04g026060.1.1;	
Solyc10g051050.2.1;	101266373;
Solyc02g065360.3.1;	
Solyc01g087230.3.1;	101247160;
Solyc01g066660.1.1;	
Solyc06g066680.3.1;	101247830;
Solyc07g054230.3.1;	
Solyc05g014220.1.1;	
Solyc09g020120.1.1;	
Solyc09g057683.1.1;	
Solyc12g056940.2.1;	101250973;
Solyc09g014260.1.1;	
Solyc12g027887.1.1;	
Solyc11g072740.1.1;	101254869;
Solyc07g005145.1.1;	
Solyc11g006710.2.1;	101245518;
Solyc01g060310.2.1;	
Solyc05g043425.1.1;	
Solyc04g024750.1.1;	
Solyc10g038130.2.1;	101257906;
Solyc10g008990.3.1;	
Solyc01g014705.1.1;	
Solyc01g106265.1.1;	
Solyc07g054893.1.1;	
Solyc02g076680.3.1;	101247686;
Solyc03g098075.1.1;	
Solyc10g079830.2.1;	
Solyc07g054500.3.1;	
Solyc04g045660.3.1;	
Solyc02g062340.3.1;	101249787;
Solyc08g042070.2.1;	
Solyc02g069720.3.1;	101265799;
Solyc12g098480.1.1;	
Solyc02g076710.3.1;	101246497;
Solyc06g054270.3.1;	101261239;
Solyc01g091000.3.1;	
Solyc06g036660.1.1;	
Solyc11g071310.1.1;	101255958;
Solyc11g018810.2.1;	
Solyc02g080860.2.1;	
Solyc06g083933.1.1;	
Solyc10g080690.2.1;	101268154;
Solyc07g039310.1.1;	101244015;
Solyc02g092515.1.1;	
Solyc07g053370.1.1;	
Solyc11g072710.2.1;	
Solyc10g012350.2.1;	
Solyc06g054455.1.1;	
Solyc01g010933.1.1;	
Solyc01g102495.1.1;	
Solyc02g071760.3.1;	
Solyc08g048070.1.1;	
Solyc02g092080.2.1;	101243757;
Solyc02g088945.1.1;	
Solyc08g082110.3.1;	
Solyc01g087000.3.1;	
Solyc06g050540.1.1;	
Solyc03g013230.1.1;	
Solyc06g006020.2.1;	
Solyc11g007430.2.1;	
Solyc02g085570.3.1;	
Solyc02g077770.3.1;	
Solyc10g011650.3.1;	
Solyc03g115630.3.1;	
Solyc11g072430.2.1;	
Solyc01g020372.1.1;	
Solyc07g021463.1.1;	
Solyc01g095740.3.1;	101245996;
Solyc03g071670.1.1;	
Solyc08g007160.3.1;	101260068;
Solyc01g088050.3.1;	101262454;
Solyc03g119010.3.1;	
Solyc11g066790.2.1;	101267090;
Solyc07g008410.3.1;	
Solyc01g094910.3.1;	543871;
Solyc12g038515.1.1;	
Solyc08g078790.1.1;	109120966;
Solyc04g009300.3.1;	
Solyc02g086585.1.1;	
Solyc08g081980.3.1;	
Solyc11g013845.1.1;	
Solyc02g071990.3.1;	101250766;
Solyc05g007610.3.1;	
Solyc12g044190.2.1;	
Solyc01g008180.3.1;	101245575;
Solyc12g038340.2.1;	101261788;
Solyc01g005530.3.1;	101252018;
Solyc01g111940.3.1;	
Solyc12g038430.2.1;	
Solyc01g105680.3.1;	
Solyc03g113180.3.1;	101246615;
Solyc03g025570.2.1;	
Solyc05g005690.1.1;	101254200;
Solyc08g080840.1.1;	
Solyc04g025190.1.1;	
Solyc08g078070.3.1;	544010;
Solyc01g087610.3.1;	101253829;
Solyc05g013880.1.1;	101249728;
Solyc03g007130.3.1;	
Solyc10g005610.2.1;	101244039;
Solyc04g050050.3.1;	101249910;
Solyc07g043343.1.1;	
Solyc01g010350.3.1;	
Solyc04g077430.3.1;	
Solyc12g014210.2.1;	
Solyc00g012690.1.1;	
Solyc12g087920.1.1;	
Solyc08g077700.3.1;	
Solyc09g005134.1.1;	
Solyc05g046013.1.1;	
Solyc12g098310.2.1;	101263800;
Solyc02g088490.3.1;	101268241;
Solyc03g025927.1.1;	
Solyc03g098520.1.1;	
Solyc08g048545.1.1;	
Solyc12g049480.2.1;	
Solyc09g075910.1.1;	101254732;
Solyc04g048960.1.1;	
Solyc04g077550.1.1;	
Solyc10g007400.3.1;	
Solyc07g055090.1.1;	101256503;
Solyc05g051160.1.1;	
Solyc02g068100.3.1;	101248354;
Solyc04g072500.1.1;	101266630;
Solyc06g073210.3.1;	
Solyc01g014400.1.1;	
Solyc06g036480.2.1;	
Solyc08g080970.2.1;	
Solyc10g078530.2.1;	101245708;
Solyc03g025430.1.1;	101256847;
Solyc10g086190.2.1;	
Solyc03g117370.3.1;	104646571;
Solyc07g021000.1.1;	
Solyc10g012310.2.1;	
Solyc04g005870.1.1;	
Solyc06g069385.1.1;	
Solyc03g078015.1.1;	
Solyc03g019830.3.1;	
Solyc11g065810.2.1;	
Solyc01g057380.2.1;	
Solyc00g074820.1.1;	
Solyc04g014250.3.1;	
Solyc07g054950.2.1;	101258279;
Solyc01g088005.1.1;	
Solyc07g053350.3.1;	101259954;
Solyc01g066040.2.1;	
Solyc07g053640.1.1;	101252504;
Solyc00g233480.1.1;	
Solyc12g096760.2.1;	101248372;
Solyc10g055300.1.1;	
Solyc09g056160.3.1;	101257209;
Solyc05g052195.1.1;	
Solyc03g098160.3.1;	101265113;
Solyc05g006160.3.1;	101265234;
Solyc01g104920.3.1;	
Solyc02g055560.1.1;	
Solyc02g068630.1.1;	101247291;
Solyc01g099540.2.1;	
Solyc03g114900.3.1;	101260119;
Solyc04g063290.3.1;	101254082;
Solyc00g025400.2.1;	
Solyc08g077410.3.1;	
Solyc03g116247.1.1;	
Solyc10g074610.2.1;	
Solyc08g048170.1.1;	
Solyc03g114230.2.1;	101248286;
Solyc05g008090.3.1;	101253184;
Solyc04g007230.3.1;	101254375;
Solyc11g066450.2.1;	101263786;
Solyc12g017360.2.1;	101250192;
Solyc06g062870.3.1;	
Solyc02g031990.1.1;	
Solyc01g017390.2.1;	
Solyc12g008770.2.1;	101266696;
Solyc08g068570.3.1;	101263925;
Solyc01g066820.3.1;	
Solyc07g044895.1.1;	
Solyc12g021365.1.1;	
Solyc05g046370.1.1;	
Solyc09g082670.3.1;	101254638;
Solyc03g006320.1.1;	101257043;
Solyc12g044820.2.1;	
Solyc03g081290.1.1;	
Solyc12g036790.2.1;	
Solyc09g008160.3.1;	
Solyc12g005160.2.1;	101260305;
Solyc02g080050.2.1;	
Solyc01g096120.3.1;	101257011;
Solyc10g083600.2.1;	101263361;
Solyc05g005190.3.1;	101247318;
Solyc02g068960.1.1;	
Solyc01g103910.2.1;	101260675;
Solyc01g017087.1.1;	
Solyc12g019590.1.1;	
Solyc08g077450.3.1;	
Solyc03g025520.3.1;	
Solyc12g019900.2.1;	
Solyc12g005080.2.1;	101258624;
Solyc01g014990.2.1;	
Solyc03g115960.3.1;	101267218;
Solyc01g066100.2.1;	
Solyc08g081710.3.1;	101244893;
Solyc02g089400.3.1;	
Solyc09g011840.1.1;	101260258;
Solyc12g089350.2.1;	101249804;
Solyc02g090710.3.1;	101245902;
Solyc11g062400.2.1;	101257732;
Solyc01g011092.1.1;	
Solyc03g005220.3.1;	
Solyc05g014652.1.1;	
Solyc02g064765.1.1;	
Solyc03g111760.3.1;	
Solyc01g006940.3.1;	
Solyc06g054327.1.1;	
Solyc06g064790.1.1;	
Solyc09g009320.1.1;	
Solyc08g067795.1.1;	
Solyc03g124010.3.1;	
Solyc12g009700.2.1;	
Solyc06g076440.2.1;	
Solyc00g019990.1.1;	
Solyc02g090170.3.1;	101257140;
Solyc02g078660.3.1;	
Solyc12g017720.1.1;	
Solyc07g006350.3.1;	101260355;
Solyc03g078403.1.1;	
Solyc01g108870.3.1;	
Solyc05g023980.2.1;	
Solyc08g029130.3.1;	101263831;
Solyc07g047820.2.1;	
Solyc04g025080.1.1;	
Solyc08g005390.1.1;	
Solyc11g006580.2.1;	101260889;
Solyc12g009830.2.1;	101263380;
Solyc04g005880.1.1;	101264417;
Solyc12g094670.1.1;	101247802;
Solyc06g072560.1.1;	
Solyc11g044455.1.1;	
Solyc08g076310.3.1;	101249476;
Solyc09g014750.1.1;	101247056;
Solyc01g103170.3.1;	
Solyc07g032796.1.1;	
Solyc03g031640.1.1;	
Solyc12g056350.2.1;	101266005;
Solyc07g053570.3.1;	
Solyc08g008450.2.1;	
Solyc02g071200.3.1;	
Solyc02g093830.3.1;	
Solyc09g031930.3.1;	101268791;
Solyc05g052715.1.1;	101254388;
Solyc03g111665.1.1;	
Solyc04g047720.3.1;	
Solyc05g050980.3.1;	101265440;
Solyc04g010235.1.1;	
Solyc08g062050.1.1;	
Solyc01g008770.3.1;	101260369;
Solyc01g066000.1.1;	
Solyc11g072350.1.1;	
Solyc11g056260.1.1;	
Solyc10g074438.1.1;	
Solyc02g090350.3.1;	
Solyc04g009465.1.1;	
Solyc09g042740.3.1;	
Solyc09g092410.3.1;	
Solyc03g025860.3.1;	101249333;
Solyc03g110980.3.1;	101244476;
Solyc06g043030.3.1;	
Solyc09g007440.3.1;	101253617;
Solyc12g005560.1.1;	104644819;
Solyc08g005080.1.1;	
Solyc08g048520.1.1;	
Solyc06g005890.3.1;	
Solyc07g015850.1.1;	
Solyc00g008140.1.1;	
Solyc07g016215.1.1;	101256987;
Solyc02g067900.3.1;	101254447;
Solyc08g014360.2.1;	
Solyc05g053530.1.1;	
Solyc10g080040.2.1;	
Solyc06g076450.3.1;	101268402;
Solyc03g033610.1.1;	101245331;
Solyc01g095090.3.1;	101255628;
Solyc12g100290.2.1;	
Solyc03g083570.3.1;	101250094;
Solyc09g018950.3.1;	101248604;
Solyc06g060070.3.1;	101266529;
Solyc09g008540.1.1;	101253524;
Solyc01g106810.3.1;	101260181;
Solyc12g082780.1.1;	
Solyc09g091945.1.1;	
Solyc10g009350.3.1;	101265965;
Solyc11g072870.1.1;	101266693;
Solyc12g043150.2.1;	
Solyc09g015030.1.1;	
Solyc01g107570.1.1;	
Solyc09g059583.1.1;	
Solyc02g078180.3.1;	101250652;
Solyc03g042560.2.1;	
Solyc08g029410.1.1;	
Solyc05g007800.3.1;	
Solyc04g045600.3.1;	101265327;
Solyc12g021170.2.1;	101249710;
Solyc10g006800.3.1;	
Solyc04g015490.3.1;	101248868;
Solyc05g050960.3.1;	101266032;
Solyc05g025600.1.1;	
Solyc12g014380.2.1;	
Solyc05g013580.3.1;	101268683;
Solyc03g097886.1.1;	
Solyc02g078450.3.1;	101244923;
Solyc05g008330.2.1;	
Solyc04g053096.1.1;	
Solyc09g066370.1.1;	
Solyc10g048030.2.1;	101262669;
Solyc11g063720.1.1;	
Solyc07g042745.1.1;	
Solyc10g081390.1.1;	
Solyc03g098030.3.1;	101249803;
Solyc04g081440.3.1;	100134879;
Solyc04g025090.1.1;	
Solyc11g073270.1.1;	101268449;
Solyc04g024720.1.1;	
Solyc05g041440.3.1;	101250994;
Solyc04g051030.1.1;	
Solyc01g006130.3.1;	
Solyc04g083140.2.1;	101251277;
Solyc10g008590.1.1;	
Solyc06g051330.1.1;	
Solyc02g083380.3.1;	
Solyc07g005583.1.1;	
Solyc10g026520.2.1;	
Solyc08g075850.3.1;	101268212;
Solyc06g059805.1.1;	
Solyc01g007040.3.1;	
Solyc07g064780.2.1;	
Solyc08g016660.2.1;	101260363;
Solyc09g005300.3.1;	101253413;
Solyc12g049505.1.1;	
Solyc02g092750.3.1;	101253040;
Solyc08g029190.3.1;	101266244;
Solyc09g074040.1.1;	
Solyc00g036964.1.1;	
Solyc01g049810.3.1;	
Solyc10g079910.2.1;	101248343;
Solyc12g013470.2.1;	
Solyc07g063040.3.1;	101257584;
Solyc01g107962.1.1;	
Solyc11g045645.1.1;	
Solyc02g072370.2.1;	
Solyc03g116975.1.1;	
Solyc05g050500.1.1;	
Solyc07g016090.1.1;	
Solyc01g103930.3.1;	101248620;
Solyc10g047030.2.1;	
Solyc04g051287.1.1;	
Solyc05g006700.3.1;	101254998;
Solyc05g010000.1.1;	
Solyc07g032313.1.1;	
Solyc11g071800.2.1;	101259120;
Solyc02g072290.1.1;	104646044;
Solyc09g083220.3.1;	101267267;
Solyc11g020135.1.1;	
Solyc02g083830.2.1;	
Solyc07g016065.1.1;	101254607;
Solyc12g049280.2.1;	101259317;
Solyc03g115075.1.1;	101254775;
Solyc10g008830.3.1;	
Solyc04g056530.2.1;	101253374;
Solyc05g016540.1.1;	
Solyc03g115280.1.1;	
Solyc12g010820.2.1;	101252059;
Solyc02g083350.3.1;	778257;
Solyc01g067490.3.1;	101244411;
Solyc11g011890.2.1;	101247682;
Solyc07g065480.3.1;	101259461;
Solyc01g105980.3.1;	101264377;
Solyc05g055905.1.1;	
Solyc03g052970.1.1;	
Solyc10g047083.1.1;	
Solyc12g094450.2.1;	
Solyc07g005710.3.1;	
Solyc10g007630.1.1;	104649502;
Solyc02g068850.1.1;	
Solyc10g008440.3.1;	101261071;
Solyc01g068320.2.1;	
Solyc02g076640.1.1;	
Solyc02g067250.2.1;	
Solyc02g023970.3.1;	101266277;
Solyc01g094233.1.1;	
Solyc07g009333.1.1;	
Solyc10g045153.1.1;	
Solyc08g062770.3.1;	101252206;
Solyc01g010295.1.1;	
Solyc08g068470.1.1;	101262138;
Solyc09g065755.1.1;	101267931;
Solyc01g106280.3.1;	543627;
Solyc04g049990.1.1;	
Solyc08g023590.3.1;	
Solyc02g082670.3.1;	101258516;
Solyc01g010840.1.1;	
Solyc06g082640.3.1;	
Solyc03g118225.1.1;	
Solyc03g095804.1.1;	
Solyc02g061850.3.1;	
Solyc07g021625.1.1;	
Solyc11g006470.2.1;	
Solyc06g073400.3.1;	101248783;
Solyc08g067490.1.1;	
Solyc01g068400.3.1;	101254831;
Solyc12g095780.2.1;	101246120;
Solyc07g063850.3.1;	101262636;
Solyc01g101070.3.1;	101261754;
Solyc01g017640.2.1;	
Solyc08g078770.1.1;	109120852;
Solyc11g071510.2.1;	101254451;
Solyc10g007470.3.1;	104649474;
Solyc08g069200.2.1;	
Solyc12g042500.2.1;	101254978;
Solyc10g080420.2.1;	101260588;
Solyc09g011430.1.1;	
Solyc06g068530.1.1;	
Solyc12g040795.1.1;	
Solyc11g006930.2.1;	101246107;
Solyc01g067830.3.1;	101263748;
Solyc01g097730.3.1;	
Solyc09g009310.1.1;	
Solyc07g038137.1.1;	
Solyc03g118490.3.1;	
Solyc10g081030.2.1;	
Solyc12g100160.2.1;	
Solyc12g008640.2.1;	
Solyc02g014385.1.1;	
Solyc01g099680.3.1;	101253428;
Solyc02g032665.1.1;	
Solyc12g009500.2.1;	101258626;
Solyc11g012150.2.1;	101254156;
Solyc09g005640.3.1;	101248038;
Solyc09g055910.3.1;	101255236;
Solyc08g076710.3.1;	101261056;
Solyc02g087390.2.1;	
Solyc10g005320.3.1;	101256422;
Solyc09g031526.1.1;	
Solyc04g064943.1.1;	
Solyc01g103150.3.1;	101259085;
Solyc10g048015.1.1;	
Solyc03g044420.2.1;	
Solyc12g005460.1.1;	
Solyc08g013780.2.1;	
Solyc06g011377.1.1;	
Solyc03g098440.3.1;	
Solyc07g042093.1.1;	
Solyc06g050870.3.1;	
Solyc12g088490.1.1;	
Solyc05g014654.1.1;	
Solyc09g092390.3.1;	
Solyc10g078940.2.1;	101256534;
Solyc11g028103.1.1;	
Solyc02g087640.3.1;	101260683;
Solyc02g088300.3.1;	101246583;
Solyc08g080720.2.1;	
Solyc04g079643.1.1;	
Solyc01g017970.1.1;	
Solyc06g073990.2.1;	
Solyc02g031865.1.1;	
Solyc03g119730.3.1;	101260413;
Solyc09g063153.1.1;	
Solyc12g077660.2.1;	
Solyc01g095520.3.1;	109119991;
Solyc09g065457.1.1;	
Solyc12g038030.1.1;	
Solyc03g113030.3.1;	101249166;
Solyc12g044540.2.1;	
Solyc11g011620.2.1;	
Solyc11g012250.1.1;	101249233;
Solyc05g024490.3.1;	
Solyc04g025750.3.1;	
Solyc06g073133.1.1;	
